id;articule;code;colorcode;size;isfirstsize;gender;brand;group;item;consist;provider;manufacturer;country;hasimage;price;count;year;season;description
422;KG0KG05192-1BJ-14;KG0KG05192;1BJ;14;0;G;Tommy Hilfiger;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
423;KG0KG05262-C87-12;KG0KG05262;C87;12;0;G;Tommy Hilfiger;Верхняя одежда;Куртка ветровка;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;12727.74;1;2020;2;
424;KB0KB05844-ZIO-8;KB0KB05844;ZIO;8;1;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;3181.94;1;2020;2;
425;KB0KB05853-YBR-12;KB0KB05853;YBR;12;0;B;Tommy Hilfiger;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУРЦИЯ;0;5727.48;1;2020;2;
426;KG0KG05219-XNL-16;KG0KG05219;XNL;16;0;G;Tommy Hilfiger;Одежда;Толстовка c капюшоном;90% органический хлопок, 10% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;10182.19;1;2020;2;
427;KB0KB05796-L3V-8;KB0KB05796;L3V;8;1;B;Tommy Hilfiger;Одежда;Толстовка c капюшоном;65% ОРГАНИЧЕСКИЙ ХЛОПОК, 30% ПОЛИЭСТЕР, 5% ЭЛАСТАН;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ИНДИЯ;0;8273.03;1;2020;2;
428;KG0KG05265-XNL-8;KG0KG05265;XNL;8;1;G;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;21556.46;1;2020;2;
429;KB0KB05883-XNL-14;KB0KB05883;XNL;14;0;B;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;КИТАЙ;0;25374.78;1;2020;2;
430;KG0KG05199-1BJ-12;KG0KG05199;1BJ;12;0;G;Tommy Hilfiger;Одежда;Джинсы клеш;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;ТУНИС;0;10182.19;1;2020;2;
431;KB0KB05907-YBR-12;KB0KB05907;YBR;12;0;B;Tommy Hilfiger;Одежда;Поло с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7636.64;1;2020;2;
